Candidate_ID,Precision,Recall,F1,F3,Reference_File,Timestamp
valid_20241029195419_gpt4o,0.8719035387039185,0.8553131222724915,0.8635286092758179,0.856943666934967,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:18.974600
valid_20241111181815_gpt4o,0.8931137323379517,0.8696866035461426,0.8812444806098938,0.8719737529754639,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:20.745027
valid_20241109165946_gpt4o,0.8909481763839722,0.8682018518447876,0.879427969455719,0.8704240322113037,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:22.431711
valid_20241109165903_gpt4o,0.8907232284545898,0.8677787780761719,0.8791013360023499,0.8700198531150818,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:24.102038
valid_20241115165754_gpt4o,0.885694146156311,0.853175938129425,0.8691309094429016,0.8563199043273926,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:25.954703
valid_20241028182532_gpt4o,0.8789181709289551,0.8591372966766357,0.8689152002334595,0.861075222492218,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:27.644093
valid_20241111171530_gpt4o,0.894868016242981,0.8730465769767761,0.8838226199150085,0.8751806616783142,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:29.332928
valid_20241111195138_gpt4o,0.8864108324050903,0.8556149005889893,0.8707406520843506,0.8585978746414185,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:31.084757
valid_20241028185800_gpt4o,0.8777792453765869,0.8615644574165344,0.8695963025093079,0.8631588816642761,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:32.790870
valid_20241111184945_gpt4o,0.8695275187492371,0.8527296781539917,0.8610467314720154,0.854380190372467,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:34.516393
valid_20241007115657_gpt4o,0.8295943140983582,0.7584359645843506,0.7924208045005798,0.7649977207183838,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:36.264691
valid_20241115173735_gpt4o,0.8837981224060059,0.8638039827346802,0.873686671257019,0.8657625913619995,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:37.997504
valid_20241114171735_gpt4o,0.8601247668266296,0.856576144695282,0.8583467602729797,0.8569297194480896,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:44.710839
valid_20241114170409_gpt4o,0.8698190450668335,0.8533973097801208,0.8615299463272095,0.8550115823745728,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:46.416103
valid_20241111183735_gpt4o,0.8827866315841675,0.8574499487876892,0.8699339032173157,0.8599180579185486,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:48.192495
valid_20241115175323_gpt4o,0.8789183497428894,0.8515942692756653,0.8650405406951904,0.8542500734329224,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:49.796560
valid_20241115193604_gpt4o,0.8769132494926453,0.8656266927719116,0.8712334632873535,0.8667422533035278,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:51.508345
valid_20241115183357_gpt4o,0.8852918148040771,0.8693023920059204,0.8772242069244385,0.8708752989768982,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:53.108681
valid_20241028180506_gpt4o,0.8808984756469727,0.8500921726226807,0.8652212023735046,0.8530755639076233,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:54.716500
valid_20241007105713_gpt4o,0.7617364525794983,0.6477198600769043,0.7001165747642517,0.6575621962547302,codebertscore/example/object_color_classify.ino,2025-11-27T04:48:58.388671
valid_20241115180900_gpt4o,0.8785645365715027,0.8470289707183838,0.8625085353851318,0.8500803112983704,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:00.293445
valid_20241114103854_gpt4o,0.8796993494033813,0.8639562129974365,0.8717567324638367,0.8655050992965698,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:02.110191
valid_20241114173132_gpt4o,0.8848785161972046,0.8589133024215698,0.8717025518417358,0.8614410758018494,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:03.958990
valid_20241028184613_gpt4o,0.888205885887146,0.8689478039741516,0.878471314907074,0.8708359599113464,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:05.569968
valid_20241029185149_gpt4o,0.8875213861465454,0.8730505704879761,0.8802264928817749,0.874476432800293,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:09.360414
valid_20241115194055_gpt4o,0.8820431232452393,0.858414351940155,0.8700683116912842,0.8607200384140015,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:12.604313
valid_20241007112325_gpt4o,0.8202587366104126,0.7534527778625488,0.7854377031326294,0.7596396803855896,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:14.349576
valid_20241029201653_gpt4o,0.886305570602417,0.8602453470230103,0.8730810880661011,0.8627821803092957,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:16.056710
valid_20241114173401_gpt4o,0.873945951461792,0.8538450002670288,0.8637785315513611,0.8558134436607361,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:17.642254
valid_20241114174545_gpt4o,0.8966044187545776,0.8670153617858887,0.8815616965293884,0.8698861598968506,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:19.405878
valid_20241007104941_gpt4o,0.8865699768066406,0.8574731349945068,0.8717787861824036,0.8602965474128723,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:21.033639
valid_20241028183535_gpt4o,0.8705265522003174,0.8647561073303223,0.867631733417511,0.8653296232223511,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:22.674909
valid_20241105151822_gpt4o,0.8646056056022644,0.8590325713157654,0.8618100881576538,0.8595866560935974,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:24.467468
valid_20241028134339_gpt4o,0.8871577382087708,0.8613321781158447,0.8740542531013489,0.8638468980789185,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:26.229023
valid_20241114174828_gpt4o,0.8804879188537598,0.8615696430206299,0.8709260821342468,0.8634247779846191,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:28.013951
valid_20241114163738_gpt4o,0.873444139957428,0.8617987036705017,0.867582380771637,0.8629493117332458,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:29.641835
valid_20241114105855_gpt4o,0.8681176900863647,0.843032717704773,0.8553913831710815,0.8454758524894714,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:31.326649
valid_20241111171748_gpt4o,0.8760894536972046,0.8586132526397705,0.8672633171081543,0.8603293895721436,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:33.084818
valid_20250325152718_gpt4o,0.8835700154304504,0.8331104516983032,0.857598602771759,0.8378955125808716,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:36.949739
valid_20241029191715_gpt4o,0.8759922981262207,0.8462063074111938,0.860841691493988,0.8490934371948242,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:38.632505
valid_20241111194011_gpt4o,0.8824989795684814,0.8616284728050232,0.8719388246536255,0.8636710047721863,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:40.315737
valid_20241114171329_gpt4o,0.8647094964981079,0.8539708256721497,0.8593065738677979,0.8550326228141785,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:42.244427
valid_20241111180548_gpt4o,0.8784151673316956,0.8686894178390503,0.8735252022743225,0.8696523904800415,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:43.908805
valid_20241114110522_gpt4o,0.8906444311141968,0.8541284203529358,0.8720042705535889,0.8576447367668152,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:45.823058
valid_20241111171149_gpt4o,0.8871844410896301,0.8597730398178101,0.8732636570930481,0.8624377250671387,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:47.530464
valid_20241029200117_gpt4o,0.8848302364349365,0.8611034154891968,0.8728055953979492,0.8634187579154968,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:50.783378
valid_20241029194807_gpt4o,0.8883552551269531,0.8560272455215454,0.8718917369842529,0.8591537475585938,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:52.553559
valid_20241111185249_gpt4o,0.8908783793449402,0.873488187789917,0.8820975422859192,0.8751965761184692,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:54.326132
valid_20241111190104_gpt4o,0.8916822075843811,0.8598659038543701,0.8754851222038269,0.862945020198822,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:55.953139
valid_20241028191119_gpt4o,0.8904891014099121,0.8639590740203857,0.877023458480835,0.8665406703948975,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:57.594511
valid_20241115193826_gpt4o,0.8903676867485046,0.8658669590950012,0.8779463768005371,0.8682562112808228,codebertscore/example/object_color_classify.ino,2025-11-27T04:49:59.120514
valid_20241029190848_gpt4o,0.8767082691192627,0.8522109985351562,0.8642860651016235,0.8545989394187927,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:16.876117
valid_20241111201628_gpt4o,0.8825438022613525,0.8542898893356323,0.8681870698928833,0.8570336103439331,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:18.682598
valid_20241114181959_gpt4o,0.8714321851730347,0.8584911823272705,0.864913284778595,0.8597680330276489,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:20.359524
valid_20241028134444_gpt4o,0.7727363109588623,0.6589290499687195,0.7113091945648193,0.6687787175178528,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:22.183195
valid_20241114180007_gpt4o,0.8585860729217529,0.8435008525848389,0.8509765863418579,0.8449854850769043,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:23.947439
valid_20241115170304_gpt4o,0.8739216327667236,0.842617928981781,0.8579843044281006,0.8456469774246216,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:25.647226
valid_20241111184110_gpt4o,0.8740864992141724,0.8642463684082031,0.8691385984420776,0.8652204275131226,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:27.290245
valid_20241007125946_gpt4o,0.828646183013916,0.7874795198440552,0.8075385093688965,0.7914111614227295,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:28.984016
valid_20241115180348_gpt4o,0.8839269876480103,0.8580664992332458,0.8708048462867737,0.8605842590332031,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:30.712102
valid_20241114111404_gpt4o,0.9091204404830933,0.876470685005188,0.8924970626831055,0.8796297907829285,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:32.416751
valid_20241028191301_gpt4o,0.8881328105926514,0.8521615266799927,0.8697754144668579,0.8556270003318787,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:34.058998
valid_20241111191244_gpt4o,0.8710532188415527,0.8640720248222351,0.8675485253334045,0.8647651076316833,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:35.873504
valid_20241111185619_gpt4o,0.8704831600189209,0.8471303582191467,0.8586480021476746,0.8494090437889099,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:37.623872
valid_20241115174048_gpt4o,0.8758552670478821,0.8614346981048584,0.8685851693153381,0.8628553152084351,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:39.367199
valid_20241111195441_gpt4o,0.8603139519691467,0.8485517501831055,0.8543923497200012,0.8497135043144226,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:40.949455
valid_20241007105951_gpt4o,0.8893231153488159,0.8537480235099792,0.8711725473403931,0.8571769595146179,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:42.559126
valid_20241115170843_gpt4o,0.884560763835907,0.8662194013595581,0.875294029712677,0.8680193424224854,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:44.316330
valid_20241115180702_gpt4o,0.892853856086731,0.8624191284179688,0.8773726224899292,0.8653689026832581,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:45.996099
valid_20241007111714_gpt4o,0.883384108543396,0.8634341359138489,0.8732951879501343,0.8653884530067444,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:47.603504
valid_20241115183039_gpt4o,0.8855977654457092,0.8667047619819641,0.8760493993759155,0.8685577511787415,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:49.305739
valid_20241114161052_gpt4o,0.8688615560531616,0.8576321601867676,0.8632103204727173,0.8587420582771301,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:50.922104
valid_20241114182622_gpt4o,0.8920493125915527,0.866395115852356,0.8790350556373596,0.8688939213752747,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:52.660413
valid_20250325152324_gpt4o,0.8799750804901123,0.8442890644073486,0.8617628216743469,0.8477269411087036,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:54.313247
valid_20241114190633_gpt4o,0.8839344382286072,0.8612242937088013,0.8724316358566284,0.8634426593780518,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:56.040469
valid_20241114182809_gpt4o,0.8955895900726318,0.8679197430610657,0.8815376162528992,0.8706095814704895,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:57.768107
valid_20241114163534_gpt4o,0.8069349527359009,0.7505665421485901,0.7777306437492371,0.7558464407920837,codebertscore/example/object_color_classify.ino,2025-11-27T04:50:59.508661
valid_20241029193347_gpt4o,0.8952832221984863,0.8660001158714294,0.8803982138633728,0.8688420057296753,codebertscore/example/object_color_classify.ino,2025-11-27T04:51:01.104216
valid_20241004145436_gpt4o,0.8704935312271118,0.8679701089859009,0.8692299723625183,0.8682218194007874,codebertscore/example/object_color_classify.ino,2025-11-27T04:51:02.749697
valid_20241007104559_gpt4o,0.87504643201828,0.8566972017288208,0.8657746315002441,0.8584975004196167,codebertscore/example/object_color_classify.ino,2025-11-27T04:51:04.444027
valid_20241029184803_gpt4o,0.8836919069290161,0.868895411491394,0.8762311935424805,0.8703526854515076,codebertscore/example/object_color_classify.ino,2025-11-27T04:51:06.160279
valid_20241028181456_gpt4o,0.8698194026947021,0.8566676378250122,0.8631934523582458,0.8579649329185486,codebertscore/example/object_color_classify.ino,2025-11-27T04:51:08.056702
valid_20241115184042_gpt4o,0.882565975189209,0.8721015453338623,0.8773025870323181,0.8731368184089661,codebertscore/example/object_color_classify.ino,2025-11-27T04:51:09.746238
valid_20241029193754_gpt4o,0.753644585609436,0.6548823118209839,0.7008009552955627,0.6635782122612,codebertscore/example/object_color_classify.ino,2025-11-27T04:51:11.399503
valid_20241115172814_gpt4o,0.8682233095169067,0.8618783354759216,0.8650392293930054,0.8625086545944214,codebertscore/example/object_color_classify.ino,2025-11-27T04:51:13.054795
valid_20241111182228_gpt4o,0.8922475576400757,0.8608065843582153,0.8762451410293579,0.8638506531715393,codebertscore/example/object_color_classify.ino,2025-11-27T04:51:14.785718
valid_20241109171609_gpt4o,0.8761038780212402,0.8491605520248413,0.8624218702316284,0.8517800569534302,codebertscore/example/object_color_classify.ino,2025-11-27T04:51:16.463485
valid_20241029193650_gpt4o,0.8859596252441406,0.8646860122680664,0.8751935958862305,0.8667672872543335,codebertscore/example/object_color_classify.ino,2025-11-27T04:51:18.179788
